# LibreOffice external tarball cache manifest observed in the retained custom-build workspace backup ZIP.
# Archive bodies are not tracked in Git. This file records build-input evidence for user verification.
# Columns: path_in_lo_zip, file_name, size_bytes, sha256
path_in_lo_zip	file_name	size_bytes	sha256
lo/externals/libwebp-1.6.0.tar.gz	libwebp-1.6.0.tar.gz	4296070	e4ab7009bf0629fd11982d4c2aa83964cf244cffba7347ecd39019a9e38c4564
lo/externals/libwpd-0.10.3.tar.xz	libwpd-0.10.3.tar.xz	534712	2465b0b662fdc5d4e3bebcdc9a79027713fb629ca2bff04a3c9251fdec42dd09
lo/externals/libwpg-0.3.4.tar.xz	libwpg-0.3.4.tar.xz	340428	b55fda9440d1e070630eb2487d8b8697cf412c214a27caee9df69cec7c004de3
lo/externals/libwps-0.4.14.tar.xz	libwps-0.4.14.tar.xz	719016	365b968e270e85a8469c6b160aa6af5619a4e6c995dbb04c1ecc1b4dd13e80de
lo/externals/libxml2-2.14.6.tar.xz	libxml2-2.14.6.tar.xz	2327580	7ce458a0affeb83f0b55f1f4f9e0e55735dbfc1a9de124ee86fb4a66b597203a
lo/externals/libxslt-1.1.45.tar.xz	libxslt-1.1.45.tar.xz	1519992	9acfe68419c4d06a45c550321b3212762d92f41465062ca4ea19e632ee5d216e
lo/externals/libzmf-0.0.2.tar.xz	libzmf-0.0.2.tar.xz	320952	27051a30cb057fdb5d5de65a1f165c7153dc76e27fe62251cbb86639eb2caf22
lo/externals/Lugrasimo-1.001.zip	Lugrasimo-1.001.zip	37242	db24dff31e8ddf6a113556c947a219f9534b072852e9ce2079a08c94854a7503
lo/externals/Lumanosimo-1.010.zip	Lumanosimo-1.010.zip	43490	d4545ad6afded9a55d9a7728cfc7453cf5637861db87aafe0a730676a0cb960f
lo/externals/Lunasima-2.009.zip	Lunasima-2.009.zip	394416	4302809cf4b95b481bec53de87484d919b391c90a518d065f6c775fd435a5393
lo/externals/md4c-release-0.5.2.tar.gz	md4c-release-0.5.2.tar.gz	237973	55d0111d48fb11883aaee91465e642b8b640775a4d6993c2d0e7a8092758ef21
lo/externals/mdds-3.1.0.tar.xz	mdds-3.1.0.tar.xz	638576	ca295f4c86968a7eb1f5d503ff7ae180e6605210cfb26d01658be42048c0924c
lo/externals/mDNSResponder-878.200.35.tar.gz	mDNSResponder-878.200.35.tar.gz	2537410	e777b4d7dbf5eb1552cb80090ad1ede319067ab6e45e3990d68aabf6e8b3f5a0
lo/externals/meson-1.8.3.tar.gz	meson-1.8.3.tar.gz	2335924	f118aa910fc0a137cc2dd0122232dbf82153d9a12fb5b0f5bb64896f6a157abf
lo/externals/mythes-1.2.5.tar.xz	mythes-1.2.5.tar.xz	2891852	19279f70707bbe5ffa619f2dc319f888cec0c4a8d339dc0a21330517bd6f521d
lo/externals/NotoKufiArabic-v2.110.zip	NotoKufiArabic-v2.110.zip	4810990	34390882c196f032811f2a3db8982c1e839f69aae3e4c2c1fdd63203150690df
lo/externals/NotoNaskhArabic-v2.021.zip	NotoNaskhArabic-v2.021.zip	2922060	6c050ab9bd087d69b733c505a7576e60c528c2f33cd7b91005a5bd7da4514032
lo/externals/NotoSans-v2.015.zip	NotoSans-v2.015.zip	117491253	0c34df072a3fa7efbb7cbf34950e1f971a4447cffe365d3a359e2d4089b958f5
lo/externals/NotoSansArabic-v2.010.zip	NotoSansArabic-v2.010.zip	21788671	a5a34ac1ea01d0d71c083f99440ebfb1f64224474a0d88bb7ef0e2f8d9a996d2
lo/externals/NotoSansArmenian-v2.008.zip	NotoSansArmenian-v2.008.zip	4472441	eab89b99e134177ca6a3f9f0412a7cb812aafceb13175d686b4c45cb237f64ac
lo/externals/NotoSansGeorgian-v2.005.zip	NotoSansGeorgian-v2.005.zip	6705397	10e85011008108308e6feab0408242acb07804da61ede3d3ff236461ae07ab1b
lo/externals/NotoSansHebrew-v3.001.zip	NotoSansHebrew-v3.001.zip	3734185	df0a71814b4e63644cf40fcc4529111b61266b7a2dafbe95068b29a7520cc3cb
lo/externals/NotoSansLao-v2.003.zip	NotoSansLao-v2.003.zip	4825278	5a87c31b1a40ef8147c1e84437e5f0ceba2d4dbbfc0b56a65821ad29870da8c0
lo/externals/NotoSansLisu-v2.102.zip	NotoSansLisu-v2.102.zip	513379	b12a1ff762680681b7ce4d98dd29a7f54d90f5bcadd10c955afc640a27b3a268
lo/externals/NotoSerif-v2.015.zip	NotoSerif-v2.015.zip	70637713	0e9a43c8a4b94ac76f55069ed1d7385bbcaf6b99527a94deb5619e032b7e76c1
lo/externals/NotoSerifArmenian-v2.008.zip	NotoSerifArmenian-v2.008.zip	4889280	b21c198a4c76ae598a304decefb3b5c2a4c2d4c3ae226728eff359185f291c6f
lo/externals/NotoSerifGeorgian-v2.003.zip	NotoSerifGeorgian-v2.003.zip	8400489	cfb41a264b97d463bab6807a5be937ba4a6ddcfa93d519a21b98b0ba73ca27d4
lo/externals/NotoSerifHebrew-v2.004.zip	NotoSerifHebrew-v2.004.zip	4622961	99523f4f21051495f18cbd5169ed0d1e9b395eefe770fece1844a4a7a00c46da
lo/externals/NotoSerifLao-v2.003.zip	NotoSerifLao-v2.003.zip	5587972	e96a303d3347790b0ef3db274971a989a736ce766ec9ea1bea0e1458568a80b2
lo/externals/nss-3.122.2-with-nspr-4.38.2.tar.gz	nss-3.122.2-with-nspr-4.38.2.tar.gz	79113091	565fbe0e84b335e38c9a68bc6aa073e6cb9951141e02a74389ed16277321356f
lo/externals/openssl-3.5.6.tar.gz	openssl-3.5.6.tar.gz	53121812	deae7c80cba99c4b4f940ecadb3c3338b13cb77418409238e57d7f31f2a3b736
lo/externals/phc-winner-argon2-20190702.tar.gz	phc-winner-argon2-20190702.tar.gz	1505307	daf972a89577f8772602bf2eb38b6a3dd3d922bf5724d45e7f9589b5e830442c
lo/externals/python.3.12.8.nupkg	python.3.12.8.nupkg	14465481	406856be971d957e0bee7a5cefe20a5ec78d70a495e9e33cd0e53d31faec049d
lo/externals/raptor2-2.0.16.tar.gz	raptor2-2.0.16.tar.gz	1750726	089db78d7ac982354bdbf39d973baf09581e6904ac4c92a98c5caadb3de44680
lo/externals/ReemKufi-2.0.zip	ReemKufi-2.0.zip	226574	94ae468fd88f37011607f03466bfc3a03fb617682b7bac6419b70de94cac22f0
lo/externals/Scheherazade-2.100.zip	Scheherazade-2.100.zip	1114645	251c8817ceb87d9b661ce1d5b49e732a0116add10abc046be4b8ba5196e149b5
lo/externals/skia-m142-f4ed99d2443962782cf5f8b4dd27179f131e7cbe.tar.xz	skia-m142-f4ed99d2443962782cf5f8b4dd27179f131e7cbe.tar.xz	11761824	45ae58e84fa2d1e261bfc980e1c5b7bbfaf83887e3813795bd343d3786f4d0bc
lo/externals/tiff-4.7.1.tar.xz	tiff-4.7.1.tar.xz	2358600	b92017489bdc1db3a4c97191aa4b75366673cb746de0dce5d7a749d5954681ba
lo/externals/twaindsm_2.4.1.orig.tar.gz	twaindsm_2.4.1.orig.tar.gz	690151	82c818be771f242388457aa8c807e4b52aa84dc22b21c6c56184a6b4cbb085e6
lo/externals/xmlsec1-1.3.9.tar.gz	xmlsec1-1.3.9.tar.gz	2377806	a631c8cd7a6b86e6adb9f5b935d45a9cf9768b3cb090d461e8eb9d043cf9b62f
lo/externals/zlib-1.3.2.tar.xz	zlib-1.3.2.tar.xz	1320064	d7a0654783a4da529d1bb793b7ad9c3318020af77667bcae35f95d0e42a792f3
lo/externals/zstd-1.5.7.tar.gz	zstd-1.5.7.tar.gz	2434947	eb33e51f49a15e023950cd7825ca74a4a2b43db8354825ac24fc1b7ee09e6fa3
lo/externals/zxcvbn-c-2.6.tar.gz	zxcvbn-c-2.6.tar.gz	1405136	11e39f6776f9c82c68b2acb94336e32697d4ab6cdb4ac16f9583ccbdd735113a
lo/externals/zxing-cpp-2.3.0.tar.gz	zxing-cpp-2.3.0.tar.gz	1008541	64e4139103fdbc57752698ee15b5f0b0f7af9a0331ecbdc492047e0772c417ba
